Notebook,Vessel,Temperature,Treatment,Plate,Row,Column,Electrophile,Electrophile SMILES,Electrophile Conc (M),Nucleophile,Nucleophile SMILES,Nucleophile Conc (M),Product,Product SMILES,Catalyst1,Catalyst1 SMILES,Catalyst1 Conc (M),Ligand1,Ligand1 SMILES,Ligand1 Conc (M),Ligand2,Ligand2 SMILES,Ligand2 Conc (M),Catalyst2,Catalyst2 SMILES,Catalyst2 Conc (M),BaseAcid,BaseAcid SMILES,BaseAcid Conc (M),ReductantOxidant,ReductantOxidant SMILES,ReductantOxidant Conc (M),Additive,Additive SMILES,Additive Conc (M),Solvent1,Solvent1 percentage,Solvent2,Solvent2 percentage,Analytical Method,index_waters,Output Value
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,A,11,"1,3-dioxoisoindolin-2-yl 2-(2-((2,6-dichlorophenyl)amino)phenyl)acetate",ClC1=C(NC2=CC=CC=C2CC(ON3C(C(C=CC=C4)=C4C3=O)=O)=O)C(Cl)=CC=C1,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",F[B-](F)(F)F.C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,"2,6-dichloro-N-(2-phenethylphenyl)aniline",ClC1=C(NC2=CC=CC=C2CCC3=CC=CC=C3)C(Cl)=CC=C1,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,A11,22.87285843
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,A,12,"1,3-dioxoisoindolin-2-yl 2-(4-isobutylphenyl)propanoate",O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(C)C3=CC=C(CC(C)C)C=C3,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",F[B-](F)(F)F.C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,1-isobutyl-4-(1-phenylpropan-2-yl)benzene,CC(CC1=CC=CC=C1)C2=CC=C(CC(C)C)C=C2,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,A12,48.86815129
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,B,1,"1-(tert-butyl) 2-(1,3-dioxoisoindolin-2-yl) pyrrolidine-1,2-dicarboxylate",O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C3N(C(OC(C)(C)C)=O)CCC3,0.1,"1-(4-methylbenzyl)-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",CC(C=C1)=CC=C1C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5.F[B-](F)(F)F,0.1,tert-butyl 2-(4-methylbenzyl)pyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=C(C)C=C2)=O)(C)C,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,B1,59.9009901
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,B,2,"1,3-dioxoisoindolin-2-yl (tert-butoxycarbonyl)valinate",O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(NC(OC(C)(C)C)=O)C(C)C,0.1,"1-(4-methylbenzyl)-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",CC(C=C1)=CC=C1C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5.F[B-](F)(F)F,0.1,tert-butyl (3-methyl-1-(p-tolyl)butan-2-yl)carbamate,CC(C=C1)=CC=C1CC(NC(OC(C)(C)C)=O)C(C)C,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,B2,14.55156951
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,B,3,"1,3-dioxoisoindolin-2-yl (tert-butoxycarbonyl)leucinate",O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(NC(OC(C)(C)C)=O)CC(C)C,0.1,"1-(4-methylbenzyl)-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",CC(C=C1)=CC=C1C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5.F[B-](F)(F)F,0.1,tert-butyl (4-methyl-1-(p-tolyl)pentan-2-yl)carbamate,CC(C=C1)=CC=C1CC(NC(OC(C)(C)C)=O)CC(C)C,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,B3,35.23561905
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,B,4,"1,3-dioxoisoindolin-2-yl 2-((tert-butoxycarbonyl)amino)pentanoate",O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(NC(OC(C)(C)C)=O)CCC,0.1,"1-(4-methylbenzyl)-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",CC(C=C1)=CC=C1C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5.F[B-](F)(F)F,0.1,tert-butyl (1-(p-tolyl)pentan-2-yl)carbamate,CC(C=C1)=CC=C1CC(NC(OC(C)(C)C)=O)CCC,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,B4,55.3972381
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,B,5,"1,3-dioxoisoindolin-2-yl (tert-butoxycarbonyl)alaninate",O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(NC(OC(C)(C)C)=O)C,0.1,"1-(4-methylbenzyl)-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",CC(C=C1)=CC=C1C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5.F[B-](F)(F)F,0.1,tert-butyl (1-(p-tolyl)propan-2-yl)carbamate,CC(C=C1)=CC=C1CC(NC(OC(C)(C)C)=O)C,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,B5,81.59836066
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,B,6,"1,3-dioxoisoindolin-2-yl (tert-butoxycarbonyl)methioninate",O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(NC(OC(C)(C)C)=O)CCSC,0.1,"1-(4-methylbenzyl)-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",CC(C=C1)=CC=C1C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5.F[B-](F)(F)F,0.1,tert-butyl (4-(methylthio)-1-(p-tolyl)butan-2-yl)carbamate,CC(C=C1)=CC=C1CC(NC(OC(C)(C)C)=O)CCSC,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,B6,50.08714597
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,B,7,"1,3-dioxoisoindolin-2-yl (tert-butoxycarbonyl)phenylalaninate",O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(NC(OC(C)(C)C)=O)CC3=CC=CC=C3,0.1,"1-(4-methylbenzyl)-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",CC(C=C1)=CC=C1C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5.F[B-](F)(F)F,0.1,tert-butyl (1-phenyl-3-(p-tolyl)propan-2-yl)carbamate,CC(C=C1)=CC=C1CC(NC(OC(C)(C)C)=O)CC2=CC=CC=C2,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,B7,48.01561905
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,B,8,"1,3-dioxoisoindolin-2-yl 2-((tert-butoxycarbonyl)amino)-3-(perfluorophenyl)propanoate",FC(C(F)=C1F)=C(F)C(F)=C1CC(C(ON2C(C(C=CC=C3)=C3C2=O)=O)=O)NC(OC(C)(C)C)=O,0.1,"1-(4-methylbenzyl)-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",CC(C=C1)=CC=C1C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5.F[B-](F)(F)F,0.1,tert-butyl (1-(perfluorophenyl)-3-(p-tolyl)propan-2-yl)carbamate,FC(C(F)=C1F)=C(F)C(F)=C1CC(NC(OC(C)(C)C)=O)CC2=CC=C(C)C=C2,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,B8,9.521238095
