Sample Name,product_yield,product_smiles,product_name
D7,0.7636,CCOC(=O)C1=C(COCCOC(=O)C23CC4CC(CC(C4)C2)C3)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,D7
D8,1.5907,CCOC(=O)C1=C(COCCOC(=O)CCCCCCCCCBr)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,D8
D9,0.9835,CCOC(=O)C1=C(COCCOC(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,D9
D10,0,C#CCCC(=O)OCCOCC1=C(C(=O)OCC)C(c2ccccc2Cl)C(C(=O)OC)=C(C)N1,D10
D11,1.29665,CCOC(=O)C1=C(COCCOC(=O)CBr)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,D11
D12,0,CCOC(=O)C1=C(COCCOC(=O)C2CCC(=O)N2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,D12
E1,1.3656,CCOC(=O)C1=C(COCCOC(=O)C(Cc2cnc[nH]2)NC(=O)OCc2ccccc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,E1
E2,0.60995,CCOC(=O)C1=C(COCCOC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,E2
E3,0.9193,CCOC(=O)C1=C(COCCOC(=O)[C@H](Cc2c[nH]cn2)NC(=O)OCC2c3ccccc3-c3ccccc32)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,E3
E4,0.2008,C=CCOC(=O)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)OCCOCC1=C(C(=O)OCC)C(c2ccccc2Cl)C(C(=O)OC)=C(C)N1,E4
E5,0.81395,CCOC(=O)C1=C(COCCOC(=O)[C@@H](NC(=O)OCc2ccccc2)[C@@H](C)CC)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,E5
E6,0.28655,CCOC(=O)C1=C(COCCOC(=O)[C@H](CCSC)NC(=O)OC(C)(C)C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,E6
E7,1.2337,CCOC(=O)C1=C(COCCOC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)OCc2ccccc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,E7
E8,1.19405,CCOC(=O)C1=C(COCCOC(=O)[C@H](CO)NC(=O)OCc2ccccc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,E8
E9,0.7908,CCOC(=O)C1=C(COCCOC(=O)[C@@H](NC(=O)c2ccccc2)[C@@H](C)O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,E9
E10,0.93055,CCOC(=O)C1=C(COCCOC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)OC(C)(C)C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,E10
E11,0.56785,CCOC(=O)C1=C(COCCOC(=O)[C@@H]2CCCN2C(=O)OC(C)(C)C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,E11
E12,0,CCOC(=O)C1=C(COCCOC(=O)C2CCNCC2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,E12
F1,0.5965,CCOC(=O)C1=C(COCCOC(=O)C2CCN(S(=O)(=O)c3ccc(C)cc3)CC2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,F1
F2,0.4317,CCOC(=O)C1=C(COCCOB(O)O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,F2
F3,0.57845,CCOC(=O)C1=C(COCCOS(=O)(=O)c2ccc(C)cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,F3
F4,0,CCOC(=O)C1=C(COCCOP2(=O)Oc3ccc4ccccc4c3-c3c(ccc4ccccc34)O2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,F4
F5,0.8158,CCOC(=O)C1=C(COCCOP(=O)(O)c2ccccc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,F5
F6,0.81665,CCOC(=O)C1=C(COCCOOC(=O)c2cccc(Cl)c2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,F6
F7,0.5682,CCOC(=O)C1=C(COCCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,F7
F8,1.1768,CCOC(=O)C1=C(COCCSc2ccccc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,F8
F9,0.5618,CCOC(C1=C(NC(C)=C(C1c2c(Cl)cccc2)C(OC)=O)COCCOc3ccc(Cl)cc3N)=O,F9
F10,0.03845,CCOC(=O)C1=C(COCCOc2ccc([N+](=O)[O-])cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,F10
F11,0.04615,CCOC(=O)C1=C(COCCOc2ccccc2I)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,F11
F12,0.10905,CCOC(=O)C1=C(COCCOc2c(C(C)(C)C)cc(C)cc2C(C)(C)C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,F12
G1,0.09005,CCOC(=O)C1=C(COCCOC(=O)[C@@]2(C)CC[C@]3(C)CC[C@]4(C)C(=CC(=O)[C@@H]5[C@@]6(C)CC[C@H](O)C(C)(C)[C@@H]6CC[C@]54C)[C@@H]3C2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,G1
G2,0.25335,CCOC(=O)C1=C(COCCOC(=O)c2cn3c4c(c(N5CCN(C)CC5)c(F)cc4c2=O)OC[C@@H]3C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,G2
G3,1.008,CCOC(=O)C1=C(COCCOc2ccc3c(c2)Oc2cc(O)ccc2C32OC(=O)c3ccccc32)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,G3
G4,0.5903,CCOC(=O)C1=C(COCCOC(=O)CC2(CC)OCCc3c2[nH]c2c(CC)cccc32)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,G4
G5,0.07915,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)OCCOCC2=C(C(=O)OCC)C(c3ccccc3Cl)C(C(=O)OC)=C(C)N2)cc1,G5
G6,0.0486,CCOC(=O)C1=C(COCCOC(=O)[C@@H](C)c2cccc(C(=O)c3ccccc3)c2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,G6
G7,0,CCOC(=O)C1=C(COCCOC(=O)C(C)(C)c2ccc(C(O)CCCN3CCC(C(O)(c4ccccc4)c4ccccc4)CC3)cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,G7
G8,0,CCOC(=O)C1=C(COCCOC(=O)C(C)(C)CCCOc2cc(C)ccc2C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,G8
G9,1.06035,CCOC(C1=C(NC(C)=C(C1c2c(Cl)cccc2)C(OC)=O)COCCOC([C@@H]3N4C([C@H]([C@H]4SC3(C)C)NC(C(c5ccccc5)NC(OC(C)(C)C)=O)=O)=O)=O)=O,G9
G10,0.0255,CCOC(=O)C1=C(COCCOC(=O)c2cc(=O)[nH]c(=O)[nH]2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,G10
G11,0.5215,CCOC(=O)C1=C(COCCOC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@H]23)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,G11
G12,0,CCOC(=O)C1=C(COCCOC(=O)c2sc(-c3ccc(OCC(C)C)c(C#N)c3)nc2C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,G12
H1,0.5791,CCOC(=O)C1=C(COCCOC(=O)C(C#N)=Cc2ccc(O)cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,H1
H2,0.0697,CCOC(=O)C1=C(COCCOC(=O)c2cccs2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,H2
H3,0.07775,CCOC(=O)C1=C(COCCOC(=O)Cc2cccc3ccccc23)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,H3
H4,0.26975,CCOC(=O)C1=C(COCCOC(=O)COc2cc(Cl)c(Cl)cc2Cl)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,H4
H5,0.21855,CCOC(=O)C1=C(COCCOC(=O)CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c2ccc([N+](=O)[O-])cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,H5
H6,0.27415,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2-c2c3ccc(=O)cc-3oc3cc([O-])ccc23)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,H6
H7,0.44075,CCOC(=O)C1=C(COCCOC(C)=O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,H7
H8,0.40365,CCOC(=O)C1=C(COCCOC(=O)[O-])NC(C)=C(C(=O)OC)C1c1ccccc1Cl,H8
H9,0.83765,C/C=C/C=CC(=O)OCCOCC1=C(C(=O)OCC)C(c2ccccc2Cl)C(C(=O)OC)=C(C)N1,H9
H10,0,CCOC(=O)C1=C(COCCn2c(=O)[nH]c(=O)n(Br)c2=O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,H10
H11,1.00835,CCOC(=O)C1=C(COCCOC(C)=O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,H11
H12,0,CCOC(=O)C1=C(COCCOP(=O)([O-])[O-])NC(C)=C(C(=O)OC)C1c1ccccc1Cl,H12
